kode,nama,transfer_id,koridor_id,description
K10.01,Tanjung Priok,,10,
K10.02,Enggano,,10,
K10.03,Permai Koja,,10,
K10.04,Walikota Jakarta Utara,,10,
K10.05,Plumpang Pertamina,,10,
K10.06,Sunter Kelapa Gading,,10,
K10.07,Yos Sudarso Kodamar,,10,
K10.08,Cempaka Mas 2,,10,
K10.09,Cempaka Putih,,10,
K10.10,Pulomas Bypass,,10,
K10.11,Kayu Putih Rawasari,,10,
K10.12,Pemuda Pramuka,,10,
K10.13,Utan Kayu Rawamangun,,10,
K10.14,Ahmad Yani Bea Cukai,,10,
K10.15,Flyover Jatinegara,,10,
K10.16,Pedati Prumpung,,10,
K10.17,Cipinang Kebon Nanas,,10,
K10.18,Penas Kalimalang,,10,
K10.19,Cawang Sutoyo,,10,
K10.20,Cawang UKI,,10,
K10.21,BKN,,10,
K10.22,PGC,,10,
