kode,nama,transfer_id,koridor_id,description
K2.01,Pulo Gadung,,2,
K2.02,Bermis,,2,
K2.03,Pulomas,,2,
K2.04,ASMI,,2,
K2.05,Pedongkelan,,2,
K2.06,Cempaka Timur,,2,
K2.07,RS Islam,,2,
K2.08,Cempaka Tengah,,2,
K2.09,Pasar Cempaka Putih,,2,
K2.10,Rawa Selatan,,2,
K2.11,Galur,,2,
K2.12,Senen,,2,
K2.13,Atrium (Satu arah),,2,
K2.14,RSPAD (Satu arah),,2,
K2.15,DEPLU (Satu arah),,2,
K2.16,Gambir 1 (Satu arah),,2,
K2.17,Istiqlal (Satu arah),,2,
K2.18,Juanda,,2,
K2.19,Pecenongan,,2,
K2.20,Harmoni Sentral,,2,
K2.21,Balai Kota (Satu arah),,2,
K2.22,Gambir 2 (Satu arah),,2,
K2.23,Kwitang (Satu arah),,2,(Kembali ke halte) Senen (dan seterusnya hingga Terminal Pulogadung)
