kode,nama,transfer_id,koridor_id,description
K6.01,Latuharhari,,6,
K6.02,Halimun,,6,
K6.03,Dukuh Atas,,6,
K6.04,Setiabudi Utara,,6,
K6.05,Kuningan Madya Aini,,6,
K6.06,Karet Kuningan,,6,
K6.07,GOR Sumantri,,6,
K6.08,DEPKES,,6,
K6.09,Patra Kuningan,,6,
K6.10,Kuningan Timur,,6,
K6.11,Mampang Prapatan,,6,
K6.12,Duren Tiga,,6,
K6.13,Imigrasi Jakarta Selatan,,6,
K6.14,Warung Jati,,6,
K6.15,Buncit Indah,,6,
K6.16,Pejaten Philips,,6,
K6.17,Jatipadang,,6,
K6.18,SMK 57,,6,
K6.19,Departemen Pertanian,,6,
K6.20,Ragunan,,6,
