kode,nama,transfer_id,koridor_id,description
K8.01,Lebak Bulus,,8,
K8.02,Pasar Jumat,,8,
K8.03,Pondok Indah 1,,8,
K8.04,Pondok Indah 2,,8,
K8.05,Tanah Kusir Kodim,,8,
K8.06,Kebayoran Lama Bungur,,8,
K8.07,Pasar Kebayoran Lama,,8,
K8.08,Simprug,,8,
K8.09,Permata Hijau,,8,
K8.10,RS Medika Permata Hijau,,8,
K8.11,Pos Pengumben,,8,
K8.12,Kelapa Dua Sasak,,8,
K8.13,Kebon Jeruk,,8,
K8.14,Duri Kelapa,,8,
K8.15,Kedoya Assiddiqiyah,,8,
K8.16,Kedoya Green Garden,,8,
K8.16a,Indosiar (TAK DISINGGAHI),,8,
K8.16b,Jelambar (TAK DISINGGAHI),,8,
K8.17,Grogol 2,,8,
K8.18,S Parman Central Park,,8,
K8.19,Tomang Mandala,,8,
K8.20,RS Tarakan,,8,
K8.21,Petojo,,8,
K8.22,Harmoni Sentral,,8,
