kode,nama,transfer_id,koridor_id,description
K9.01,Pluit,,9,
K9.02,Penjaringan,,9,
K9.03,Jembatan Tiga,,9,
K9.04,Jembatan Dua,,9,
K9.05,Jembatan Besi,,9,
K9.06,Stasiun Grogol/Latumenten,,9,
K9.07,Grogol 2,,9,
K9.08,S Parman Central Park,,9,
K9.09,S Parman Harapan Kita,,9,
K9.10,Slipi Kemanggisan,,9,
K9.11,Slipi Petamburan,,9,
K9.12,Senayan JCC,,9,
K9.13,Semanggi,,9,
K9.14,Gatot Subroto LIPI,,9,
K9.15,Gatot Subroto Jamsostek,,9,
K9.16,Kuningan Barat,,9,
K9.17,Tegal Parang,,9,
K9.18,Pancoran Barat,,9,
K9.19,Pancoran Tugu,,9,
K9.20,Tebet BKPM,,9,
K9.21,Cikoko Stasiun Cawang,,9,
K9.22,Cawang Ciliwung,,9,
K9.23,Cawang BNN,,9,
K9.24,Cawang Sutoyo (Arah Pinang Ranti),,9,
K9.25,Taman Mini Garuda,,9,
K9.26,Pinang Ranti,,9,
